      x      x          X
      0      0          0
   8553      1       1116
  16961      1       4389
  25080      0       9597
  32768      0      16384
  39896      0      24287
  46342     -2      32769
  51993      1      41248
  56754      2      49148
  60546      2      55935
  63303     -1      61146
  64976      0      64420
  65536      0      65536
  64976      0      64420
  63303     -1      61146
  60546      2      55935
  56754      2      49148
  51993      1      41248
  46342     -2      32769
  39896      0      24287
  32768      0      16384
  25080      0       9597
  16961      1       4389
   8553      1       1116
      0      0          0
  -8553     -1       1116
 -16961     -1       4389
 -25080      0       9597
 -32768      0      16384
 -39896      0      24287
 -46342      2      32769
 -51993     -1      41248
 -56754     -2      49148
 -60546     -2      55935
 -63303      1      61146
 -64976      0      64420
 -65536      0      65536
 -64976      0      64420
 -63303      1      61146
 -60546     -2      55935
 -56754     -2      49148
 -51993     -1      41248
 -46342      2      32769
 -39896      0      24287
 -32768      0      16384
 -25080      0       9597
 -16961     -1       4389
  -8553     -1       1116
      0      0          0
   8553      1       1116
  16961      1       4389
  25080      0       9597
  32768      0      16384
  39896      0      24287
  46342     -2      32769
  51993      1      41248
  56754      2      49148
  60546      2      55935
  63303     -1      61146
  64976      0      64420
  65536      0      65536
  64976      0      64420
  63303     -1      61146
  60546      2      55935
  56754      2      49148
  51993      1      41248
  46342     -2      32769
  39896      0      24287
  32768      0      16384
  25080      0       9597
  16961      1       4389
   8553      1       1116
      0      0          0
  -8553     -1       1116
 -16961     -1       4389
 -25080      0       9597
 -32768      0      16384
 -39896      0      24287
 -46342      2      32769
 -51993     -1      41248
 -56754     -2      49148
 -60546     -2      55935
 -63303      1      61146
 -64976      0      64420
 -65536      0      65536
 -64976      0      64420
 -63303      1      61146
 -60546     -2      55935
 -56754     -2      49148
 -51993     -1      41248
 -46342      2      32769
 -39896      0      24287
 -32768      0      16384
 -25080      0       9597
 -16961     -1       4389
  -8553     -1       1116
      0      0          0
   8553      1       1116
  16961      1       4389
  25080      0       9597
  32768      0      16384
  39896      0      24287
  46342     -2      32769
  51993      1      41248
  56754      2      49148
  60546      2      55935
  63303     -1      61146
  64976      0      64420
  65536      0      65536
  64976      0      64420
  63303     -1      61146
  60546      2      55935
  56754      2      49148
  51993      1      41248
  46342     -2      32769
  39896      0      24287
  32768      0      16384
  25080      0       9597
  16961      1       4389
   8553      1       1116
      0      0          0
  -8553     -1       1116
 -16961     -1       4389
 -25080      0       9597
 -32768      0      16384
 -39896      0      24287
 -46342      2      32769
 -51993     -1      41248
 -56754     -2      49148
 -60546     -2      55935
 -63303      1      61146
 -64976      0      64420
 -65536      0      65536
 -64976      0      64420
 -63303      1      61146
 -60546     -2      55935
 -56754     -2      49148
 -51993     -1      41248
 -46342      2      32769
 -39896      0      24287
 -32768      0      16384
 -25080      0       9597
 -16961     -1       4389
  -8553     -1       1116
      0      0          0
   8553      1       1116
  16961      1       4389
  25080      0       9597
  32768      0      16384
  39896      0      24287
  46342     -2      32769
  51993      1      41248
  56754      2      49148
  60546      2      55935
  63303     -1      61146
  64976      0      64420
  65536      0      65536
  64976      0      64420
  63303     -1      61146
  60546      2      55935
  56754      2      49148
  51993      1      41248
  46342     -2      32769
  39896      0      24287
  32768      0      16384
  25080      0       9597
  16961      1       4389
   8553      1       1116
      0      0          0
  -8553     -1       1116
 -16961     -1       4389
 -25080      0       9597
 -32768      0      16384
 -39896      0      24287
 -46342      2      32769
 -51993     -1      41248
 -56754     -2      49148
 -60546     -2      55935
 -63303      1      61146
 -64976      0      64420
 -65536      0      65536
 -64976      0      64420
 -63303      1      61146
 -60546     -2      55935
 -56754     -2      49148
 -51993     -1      41248
 -46342      2      32769
 -39896      0      24287
 -32768      0      16384
 -25080      0       9597
 -16961     -1       4389
  -8553     -1       1116
      0      0          0
   8553      1       1116
  16961      1       4389
  25080      0       9597
  32768      0      16384
  39896      0      24287
  46342     -2      32769
  51993      1      41248
  56754      2      49148
  60546      2      55935
  63303     -1      61146
  64976      0      64420
  65536      0      65536
  64976      0      64420
  63303     -1      61146
  60546      2      55935
  56754      2      49148
  51993      1      41248
  46342     -2      32769
  39896      0      24287
  32768      0      16384
  25080      0       9597
  16961      1       4389
   8553      1       1116
      0      0          0
  -8553     -1       1116
 -16961     -1       4389
 -25080      0       9597
 -32768      0      16384
 -39896      0      24287
 -46342      2      32769
 -51993     -1      41248
 -56754     -2      49148
 -60546     -2      55935
 -63303      1      61146
 -64976      0      64420
 -65536      0      65536
 -64976      0      64420
 -63303      1      61146
 -60546     -2      55935
 -56754     -2      49148
 -51993     -1      41248
 -46342      2      32769
 -39896      0      24287
 -32768      0      16384
 -25080      0       9597
 -16961     -1       4389
